epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3688.28,0.84551,0.54538,0.99519,0.9737,0.97949,0.98882,0.81089,0.79079,0.47345,0.96409,0.001307,0.001307,0.001307
44,3742.95,0.81565,0.55224,1.01011,0.92585,0.96042,0.98187,0.79721,0.78018,0.47963,0.97107,0.0012905,0.0012905,0.0012905
45,3794.8,0.79487,0.53556,0.98033,0.96275,0.92792,0.98435,0.79964,0.77023,0.4558,0.94895,0.001274,0.001274,0.001274
46,3842.09,0.80634,0.526,0.9883,0.94283,0.93036,0.97155,0.78614,0.79083,0.53121,0.95452,0.0012575,0.0012575,0.0012575
47,3893.89,0.78839,0.5331,0.99149,0.96193,0.97949,0.98435,0.82157,0.72542,0.44456,0.93144,0.001241,0.001241,0.001241
48,3943.47,0.77025,0.50452,0.97012,0.96082,0.97949,0.98862,0.80078,0.77593,0.44088,0.95408,0.0012245,0.0012245,0.0012245
49,3993.53,0.79437,0.52391,0.96865,0.96032,0.99282,0.99234,0.82129,0.73985,0.42365,0.93473,0.001208,0.001208,0.001208
50,4046.05,0.79426,0.51519,0.97919,0.95431,0.97436,0.98476,0.82105,0.77332,0.44402,0.94112,0.0011915,0.0011915,0.0011915
51,4107.24,0.77562,0.50568,0.96559,0.96907,0.98462,0.99055,0.81703,0.72121,0.4205,0.93448,0.001175,0.001175,0.001175
52,4156.64,0.77593,0.51494,0.96543,0.97984,0.94872,0.99034,0.82479,0.73568,0.42522,0.93177,0.0011585,0.0011585,0.0011585
53,4211.48,0.75351,0.49268,0.964,0.96349,0.94736,0.98858,0.83064,0.71369,0.45611,0.9314,0.001142,0.001142,0.001142
54,4263.47,0.77737,0.51528,0.96968,0.97096,0.95385,0.98776,0.82427,0.71385,0.45361,0.92563,0.0011255,0.0011255,0.0011255
55,4313.56,0.77339,0.51052,0.97302,0.97377,0.95195,0.97535,0.7975,0.77009,0.47465,0.95554,0.001109,0.001109,0.001109
56,4367.35,0.76353,0.49436,0.97277,0.96407,0.9632,0.98138,0.82123,0.72739,0.4366,0.92692,0.0010925,0.0010925,0.0010925
57,4417.08,0.77466,0.48919,0.96235,0.95002,0.97471,0.98878,0.82551,0.75213,0.43949,0.93869,0.001076,0.001076,0.001076
58,4479.95,0.77287,0.48187,0.9751,0.97485,0.99378,0.99359,0.83301,0.72249,0.40022,0.92771,0.0010595,0.0010595,0.0010595
59,4534.48,0.76359,0.48307,0.96904,0.96471,0.94359,0.98344,0.81702,0.74673,0.4646,0.92373,0.001043,0.001043,0.001043
60,4592.09,0.75457,0.49541,0.97414,0.96562,0.97949,0.99019,0.82615,0.72351,0.42904,0.92865,0.0010265,0.0010265,0.0010265
61,4654.17,0.77936,0.50913,0.96981,0.95796,0.9641,0.97409,0.81695,0.71783,0.44312,0.93363,0.00101,0.00101,0.00101
